ID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Proximity,Temperature,Depth,DisplayMode,Samples,Expiration
43,38.1645710394,-110.9458985087,1772.0625,2012-05-16T16:39:31Z,,,Fast6,15-JUN-11 2:14:25PM,15-JUN-11 2:14:25PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
44,38.17096618,-110.9407601506,1723.2761230469,2012-05-16T16:39:31Z,,,Fast7,15-JUN-11 8:48:44AM,15-JUN-11 8:48:44AM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
45,38.1702267285,-110.9464230482,1771.8220214844,2012-05-16T16:39:31Z,,,Fast8,15-JUN-11 3:34:57PM,15-JUN-11 3:34:57PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
46,38.1529369578,-110.9577080235,1739.1374511719,2012-05-16T16:39:31Z,,,Fast9,15-JUN-11 4:40:44PM,15-JUN-11 4:40:44PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
47,38.1657999102,-110.9368602186,1723.9970703125,2012-05-16T16:39:31Z,,,fastplot,15-JUN-11 8:50:49AM,15-JUN-11 8:50:49AM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
48,38.8555499911,-94.7990166675,325.0490722656,2012-05-16T16:39:31Z,,,Garmin,,,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
49,50.9828832932,-1.4638999756,35.9346923828,2012-05-16T16:39:31Z,,,Garmin Europe,,,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
50,25.0617833622,121.6402666736,38.09765625,2012-05-16T16:39:31Z,,,Garmin Taiwan,,,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
51,38.2014430314,-110.9865457937,1713.9030761719,2012-05-16T16:39:31Z,,,P09,14-AUG-10 8:17:15AM,14-AUG-10 8:17:15AM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
52,38.2014583703,-110.9864198137,1733.1293945313,2012-05-16T16:39:31Z,,,Plot7,14-AUG-10 11:38:13AM,14-AUG-10 11:38:13AM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
53,38.20162341,-110.988156125,1730.7260742188,2012-05-16T16:39:31Z,,,Plot8,14-AUG-10 1:20:20PM,14-AUG-10 1:20:20PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
54,38.1580721308,-110.9471397847,1759.5654296875,2012-05-16T16:39:31Z,,,St1,24-AUG-10 9:52:51AM,24-AUG-10 9:52:51AM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
55,38.1664805207,-110.9560008813,1760.0461425781,2012-05-16T16:39:31Z,,,St10,25-AUG-10 11:11:25AM,25-AUG-10 11:11:25AM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
56,38.166591581,-110.9583955072,1753.5573730469,2012-05-16T16:39:31Z,,,St11,25-AUG-10 12:31:07PM,25-AUG-10 12:31:07PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
57,38.1640670355,-110.9483445156,1756.921875,2012-05-16T16:39:31Z,,,St2,24-AUG-10 12:16:39PM,24-AUG-10 12:16:39PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
58,38.1620736513,-110.9513698798,1764.1315917969,2012-05-16T16:39:31Z,,,St3,24-AUG-10 1:51:22PM,24-AUG-10 1:51:22PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
59,38.1789231207,-110.9590447694,1768.6977539063,2012-05-16T16:39:31Z,,,st4,24-AUG-10 10:19:58AM,24-AUG-10 10:19:58AM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
60,38.1901992112,-110.9628411848,1768.9382324219,2012-05-16T16:39:31Z,,,St5,24-AUG-10 10:22:22AM,24-AUG-10 10:22:22AM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
61,38.1906127743,-110.9634637926,1717.7485351563,2012-05-16T16:39:31Z,,,St6,24-AUG-10 7:59:29PM,24-AUG-10 7:59:29PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
62,38.1908905506,-110.9640381206,1715.5854492188,2012-05-16T16:39:31Z,,,St7,24-AUG-10 9:09:48PM,24-AUG-10 9:09:48PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
63,38.1919212732,-110.9648844413,1710.7788085938,2012-05-16T16:39:31Z,,,St8,25-AUG-10 7:44:24AM,25-AUG-10 7:44:24AM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
64,38.1564313732,-110.9602697007,1741.3005371094,2012-05-16T16:39:31Z,,,St9,25-AUG-10 9:43:44AM,25-AUG-10 9:43:44AM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
65,38.1672721077,-110.9510193486,1769.1784667969,2012-05-16T16:39:31Z,,,Stephenstranse,13-JUL-10 5:02:42PM,13-JUL-10 5:02:42PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
66,38.1860089302,-110.9646474849,1724.2373046875,2012-05-16T16:39:31Z,,,Stfast1,15-JUN-11 8:28:35AM,15-JUN-11 8:28:35AM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
67,38.1799307093,-111.0008220188,1699.2431640625,2012-05-16T16:39:31Z,,,Thomp1,13-AUG-10 8:08:45AM,13-AUG-10 8:08:45AM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
